,Day,ratio
0,1,0.3333333333333333
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.06666666666666667
8,9,0.1111111111111111
9,10,0.04081632653061224
10,11,0.08163265306122448
11,12,0.06521739130434782
12,13,0.08333333333333333
13,14,0.1111111111111111
14,15,0.046153846153846156
15,16,0.10714285714285714
16,17,0.06521739130434782
17,18,0.0
18,19,0.03968253968253968
19,20,0.03773584905660377
20,21,0.0
21,22,0.0
22,23,0.006535947712418301
23,24,0.014285714285714285
24,25,0.01910828025477707
25,26,0.014184397163120567
26,27,0.009746588693957114
27,28,0.020737327188940093
28,29,0.04904632152588556
29,30,0.07478632478632478
30,31,0.05176767676767677
31,32,0.05504587155963303
32,33,0.10209662716499544
33,34,0.07939189189189189
34,35,0.06079664570230608
35,36,0.10373134328358209
36,37,0.1159235668789809
37,38,0.10971128608923884
38,39,0.12586206896551724
39,40,0.15971896955503512
40,41,0.12146118721461187

